Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C29H12.2; -0.564384173294,D2007.4; -0.100764662867,C30C11.4; 0.904923284072
C29H12.5; -0.470459106934,D2024.5; -0.0349282811941,C30F12.2; 0.935389976359
C30A5.3; -0.372735460047,D2030.2; 0.14403797038,C30G12.6; 0.578423695746
C30F12.4; -0.473209546745,D2063.3; -0.0246843663967,C31E10.5; 1.04026713497
C30H6.7; -0.696404867438,E02H1.2; -0.120366544962,C31G12.1; 0.953842401705
C30H6.9; -0.323253450813,E02H1.6; 0.182503123603,C31H1.8; 0.895550233673
C31C9.2; -1.01133291069,E04D5.1; 0.0464951553031,C32D5.3; 1.49965755376
C32A3.3; -0.350961759347,EEED8.3; -0.189840616804,C32E8.5; 0.724271816072
C32D5.10; -0.957617820441,F01G4.3; 0.11112595462,C32E8.9; 1.21705374052
C32D5.8; -1.32941908011,F01G4.6; -0.193700128069,C32F10.8; 1.07595567499
C32E8.11; -1.66727203118,F02E9.5; -0.0361553213222,C33A11.2; 2.89614998053
C32E8.3; -0.841711399462,F02E9.9; 0.169188806089,C33A12.1; 0.625834833604
C33A12.3; -0.541109391587,F07F6.8; -0.1265015078,C33C12.10; 0.910015531721
C33A12.7; -1.29106503062,F08B4.7; -0.153128709187,C33F10.14; 0.643720184859
C33H5.17; -0.684290883935,F08F8.2; 0.15947648579,C33F10.4; 0.279006273089
C33H5.8; -0.898716669356,F08F8.4; -0.124134957223,C34B2.5; 0.650508522473
C34B2.6; -1.22286950671,F08G5.1; 0.151860397866,C34B2.8; 0.265389473973
C34B7.2; -0.588899916926,F09E5.11; 0.157722209438,C34B4.2; 0.784065900742
C34D10.1; -0.566005079594,F09E5.8; -0.0732232740647,C34C12.5; 0.646833372173
C34D4.4; -0.413342317985,F09G2.9; 0.0283638019882,C34E10.10; 0.207374745791
C34E10.8; -0.972121710095,F10B5.8; -0.032650187028,C34E10.11; 0.918086735087
C35A5.8; -0.690732586037,F10C5.2; 0.0248555932124,C34G6.1; 5.57124009083
C35B1.2; -0.239578505586,F10E7.5; 0.124235397582,C34H4.5; 1.11718313521
C35C5.3; -0.260048598955,F10E9.5; -0.035475596549,C35D10.10; 0.513922287844
C35D10.17; -1.22718280801,F10E9.7; 0.132126998245,C35D10.6; 0.346887330697
C35D10.1; -0.606342912447,F10G7.9; 0.0778996634766,C36A4.4; 0.734517368332
C35D10.5; -0.476051092845,F12F6.7; 0.0674491687222,C36B1.11; 0.985850790244
C35D10.7; -0.304110463399,F13A7.14; 0.0801787964603,C36B7.6; 2.16612245246
C35D6.3; -8.30056878872,F13G3.10; -0.0890574195014,C36C9.1; 0.93617050552
C35E7.11; -2.85046136916,F14E5.2; 0.0556760534585,C36E8.1; 0.298163701707
C35E7.8; -0.409922192793,F14H3.3; 0.0511521725578,C36F7.2; 1.29613421517
C36A4.14; -7.79332363279,F15B9.10; 0.0260874679886,C37C3.2; 0.602874252971
C36B1.14; -0.315802961394,F15D3.7; 0.05805727216,C37E2.1; 0.373518884203
C36E6.1; -0.337305740008,F18A1.7; 0.0679439754422,C37H5.13; 0.235716229301
C37A2.8; -0.303745604898,F18C5.10; -0.166892078523,C37H5.6; 0.44638642569
C37C3.9; -0.228576234956,F18H3.1; -0.0279227751184,C38D4.1; 0.518430010275
C37H5.3; -0.987333135321,F19B10.10; 0.163384464044,C40H1.6; 1.32675681913
C37H5.5; -1.01891688318,F19F10.9; 0.102924043019,C41G7.3; 0.492076975918
C38C10.2; -0.517256084528,F19H6.4; 0.120650681965,C41H7.3; 0.314925108885
C39E9.12; -0.763483100054,F20A1.9; -0.0351789630759,C42C1.10; 0.237941476586
C41D11.3; -0.412887434102,F21D5.1; -0.117059937464,C42C1.11; 0.599436708829
C41D11.5; -0.263490571295,F21D5.2; 0.098638280959,C42C1.12; 0.394096779959
C41D11.9; -0.35270376713,F21D5.7; 0.161537851663,C42C1.13; 0.374652725331
C41G7.9; -0.286151110614,F23A7.4; 0.0260565581926,C43E11.12; 0.525962316912
