Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F13G3.7; -0.292301025725,F19F10.9; -0.0500034863552,F07A11.2; 0.535921955525
F13H10.3; -0.518185418073,F20D1.3; 0.174646598582,F07F6.4; 0.880895122899
F13H10.4; -0.761493036643,F21A10.2; -0.152091716416,F07F6.8; 0.426360916703
F14D2.11; -0.80380907253,F21D5.1; 0.124344055669,F08F3.6; 0.366516581877
F14H3.3; -0.589093272332,F21D5.2; -0.0660627190331,F08F8.10; 0.610462313663
F14H3.4; -1.23668895743,F21D5.7; -0.0570676068098,F08G12.3; 0.926542012056
F14H3.6; -1.35132108784,F21F3.6; 0.157661255736,F09A5.4; 0.629790605929
F15A4.2; -1.11406438835,F21H12.6; -0.132984220588,F09E5.11; 0.777889568012
F15C11.2; -0.223722220318,F22D6.2; -0.0306263406136,F09E5.3; 1.64701990014
F16A11.1; -0.840436626771,F22E5.9; 0.0146073605377,F09E5.8; 0.364099361139
F16B12.6; -0.6856628399,F23B12.5; -0.149980056629,F09E8.2; 0.363761240628
F16H11.3; -1.10564819718,F23C8.5; -0.186646683572,F09F7.3; 0.235906118151
F17A2.13; -0.570899000275,F23C8.9; 0.189015086846,F10E7.5; 0.271885437248
F18C5.10; -0.584526477131,F23H11.3; 0.0826440776682,F10E9.11; 0.670295301571
F18H3.4; -0.505551887857,F25B3.6; -0.110947362976,F10E9.4; 0.27534856995
F19B6.1; -0.42108507185,F25B4.1; -0.172395177555,F10E9.5; 0.229814563284
F19H6.4; -0.342130110043,F25B4.5; -0.198057931739,F10G7.5; 0.354666259416
F20C5.3; -2.33094514117,F25B5.3; 0.116477443331,F10G8.6; 0.206446371352
F20D1.9; -2.37218237372,F25B5.6; 0.148880968179,F12A10.8; 1.52123709584
F20D12.2; -0.478752242577,F25H2.6; -0.0166423562442,F12E12.1; 0.667823568905
F21D5.5; -1.12898034119,F25H8.2; 0.105656377142,F13E9.1; 0.262301048191
