Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F23H11.5; -1.86079096249,flh-1; 0.075367353359,C56C10.7; 1.61110437006
F25B4.7; -2.14309516228,fntb-1; -0.00614627415643,C56E6.2; 1.08102644966
F25G6.8; -1.19894427054,ftt-2; -0.113717603481,C56G2.1; 0.738456082526
F25H2.5; -0.537963005195,fum-1; 0.0898539960311,C56G2.7; 0.485679077592
F25H2.6; -0.696333855133,gld-1; -0.1287339406,D1007.5; 3.72308799942
F25H8.2; -0.649061563402,gpdh-2; -0.0309873380878,D1046.2; 2.85181991129
F26A3.7; -0.959674549368,gsk-3; 0.0440013851418,D1054.14; 0.924897479204
F26E4.4; -1.55008442608,hcp-3; -0.134579703371,D1054.3; 0.976287615599
F26E4.6; -2.47668297675,hil-5; 0.0878636868785,D2005.7; 1.75007838203
F26F2.7; -1.8639518689,him-10; 0.00424787257643,D2007.1; 1.0057929409
F26F4.6; -1.7404955837,iars-1; -0.150306894831,D2007.4; 1.44660450096
F26F4.9; -2.04590534689,kbp-2; 0.0912501588265,D2013.6; 0.926214531936
F26H11.6; -0.870978517341,klc-1; -0.187457264893,D2030.11; 0.521656613933
F27C8.6; -0.760741664657,larp-5; 0.0598050209339,D2030.7; 0.21493562192
F28C6.1; -0.315688836429,let-504; -0.105926581906,D2030.8; 3.57816248203
F29B9.11; -2.18843107376,let-767; -0.0013951649669,D2063.3; 1.889588426
F29C4.2; -1.38258393434,let-92; 0.169841857662,D2085.5; 3.3667630399
F30A10.3; -0.386299193104,lin-3; 0.136579546288,D2085.6; 1.09970743229
F30F8.3; -0.932677998048,lin-52; 0.00328966696923,E01A2.1; 4.58862689186
F31C3.4; -0.295300554765,lis-1; -0.085952210579,E01A2.2; 1.55250843068
F31D4.9; -1.06027360878,lsl-1; 0.15757274317,E01A2.6; 2.29560396134
F31E8.4; -1.06065816888,lsm-5; 0.101936271531,E01G4.5; 3.79955225454
F32A11.1; -1.37761217192,mbk-2; -0.19809685908,E02D9.1; 0.487843290958
F32D1.2; -1.47227631421,mdt-8; 0.185579790281,E02H1.1; 3.53050631985
F32D1.5; -1.13252811789,mec-15; 0.153469534687,E02H1.5; 5.60591208521
F32D1.7; -0.480210621037,met-1; -0.109708624781,E02H1.8; 8.15276231922
F32D8.5; -0.537724564443,mex-6; -0.114620532321,E04A4.5; 0.212007617372
F32E10.2; -0.224237368522,mig-32; 0.165491241293,EEED8.10; 0.217708920709
F32H2.10; -4.09617059676,mms-19; -0.197566365265,EEED8.12; 3.52816909911
F35D11.5; -1.98925771025,mppb-1; -0.102580563891,EEED8.14; 1.64233949086
F35F11.1; -0.286641439517,mrck-1; 0.103528706119,EEED8.4; 2.97300526384
F35G12.12; -0.380989538505,mtm-6; -0.145702324901,F01F1.11; 0.603593447701
F35G12.7; -0.98690761447,mxl-2; 0.170316670531,F01F1.15; 5.43739084917
F35G2.1; -0.927410484688,npp-11; -0.100666878289,F01G4.3; 1.6719461006
F35H10.6; -0.544074020365,nra-1; 0.137198293793,F01G4.4; 3.43812217778
F35H10.7; -0.97060899087,nra-2; -0.124547528485,F02A9.4; 2.51061613998
F36A2.2; -6.6667628196,nuo-6; -0.0215267291648,F02E8.4; 1.41341507985
F36A2.3; -4.0300366932,pak-2; -0.0116235997997,F02E9.5; 1.73894327066
F36A2.7; -1.10877160292,pas-3; 0.147063823135,F02E9.9; 1.90884265154
F36D1.1; -0.703720413134,pas-7; -0.0335244329133,F02H6.2; 0.791545182492
F36D3.1; -0.512524869082,pbrm-1; 0.107341118751,F07H5.10; 1.38890210867
F37A4.2; -1.68702077099,pbs-7; -0.193064356381,F07H5.5; 0.339507955986
F37C12.3; -0.498181022628,pcca-1; 0.0493225634366,F08C6.2; 7.06394642665
F37D6.2; -0.555366461054,pcn-1; 0.176255487139,F08F8.10; 2.73258016405
F38A5.1; -3.07745458049,pdp-1; 0.159631597939,F08F8.2; 2.66376488089
F38E1.9; -1.17958464802,pgk-1; -0.0936500680974,F08F8.4; 0.891716245456
F38E9.5; -3.80322388362,phip-1; 0.00123768214653,F08F8.9; 2.64725967143
F38H4.10; -1.6217175117,pmp-3; -0.14144076302,F08G12.2; 0.790687453852
F39F10.4; -8.52344684678,pqn-83; 0.0214037358696,F09A5.4; 7.97371004065
F39H11.1; -3.05782381295,praf-3; 0.146814213283,F09E5.11; 0.586044250787
F42A8.3; -0.444427930564,ptc-1; 0.146414640883,F09E5.7; 5.9939947912
F42A9.8; -0.654973901575,ptp-2; -0.0965475858865,F09E8.2; 2.61842327158
F42G9.1; -0.540130000447,puf-12; 0.119334801093,F09F7.4; 1.403333476
F43G9.13; -1.92823468275,puf-6; -0.148325604183,F09G2.8; 1.55880403247
F43G9.2; -1.76619820312,pup-2; -0.0530408551986,F09G8.3; 2.04055662319
F44B9.5; -1.91573507817,pzf-1; 0.079559537358,F09G8.7; 0.685558946006
F44B9.8; -0.534825670838,rack-1; -0.0535496976914,F10B5.8; 6.61162631797
F44E2.10; -0.628950770685,rad-50; 0.0101846048477,F10C2.4; 2.73049265671
F44E5.1; -2.22371810902,ragc-1; -0.174788108333,F10D11.2; 1.59266090488
F44E7.4; -1.60060653981,rbd-1; 0.17832694448,F10D7.5; 2.95981472735
F44G4.2; -0.442589359995,repo-1; -0.0485708554474,F10E9.3; 2.34849031188
F45F2.11; -0.901748402322,rfc-3; 0.13107180425,F10E9.7; 0.91643571157
F45G2.8; -4.05914125225,rhi-1; 0.0689216683875,F11A10.7; 1.84541073213
F45H10.2; -1.25065970977,ric-8; -0.11754741347,F11E6.7; 0.501335489261
F45H11.3; -1.5476969039,riok-1; -0.0117034946979,F11G11.5; 0.936719503436
F46B6.5; -1.77256275907,rnp-8; -0.00501495875931,F12A10.8; 7.86835720921
F47G3.3; -1.890132651,rop-1; 0.0585209174681,F12F6.1; 4.40338166554
F48C1.5; -0.748346564907,rpb-6; 0.0516887812202,F12F6.7; 0.617927873692
F49C12.11; -0.841443810727,rpl-24.1; -0.133996993096,F13A7.14; 1.77394748709
F49C12.9; -1.52910632136,rpl-3; -0.0412660987852,F13B12.1; 1.9300159506
F49E8.1; -0.547098805749,rpn-8; -0.0329465994244,F13E9.1; 1.85701648268
F52B11.1; -3.65666644791,rpn-9; 0.0379529830669,F13H10.3; 5.16416403577
F52B5.3; -0.212095310903,rps-15; 0.164548989125,F13H10.8; 1.09746651135
F52H3.4; -1.28371638783,rps-18; 0.042296320276,F14B4.2; 1.25296320077
F53B1.2; -0.894158938749,rps-1; 0.163211813983,F14B4.3; 0.440732985666
F53B7.3; -0.364963580129,rps-2; -0.0603008242632,F14D2.15; 1.25414773454
F53C3.13; -0.637018365458,rps-9; -0.107025307349,F14E5.2; 2.58865533457
F53E10.6; -5.03360751828,rsa-1; -0.105864694274,F14H3.3; 1.4124138255
F53F10.3; -1.74792943385,rsd-6; -0.196321922683,F15A4.10; 0.210603388272
F53F4.10; -1.21618724867,rsr-1; -0.0128222478271,F15D3.7; 1.01388764359
F53F4.12; -0.963017843949,sec-24.1; -0.0206654912695,F15D4.2; 2.0254949677
F53F4.14; -1.14945111679,sig-7; 0.0464249483797,F16A11.1; 8.51803760159
F54A3.5; -1.71713365159,skr-2; 0.0700422525534,F16A11.2; 2.55009207068
F54C8.7; -0.497526854913,snx-1; 0.171235146139,F17A9.2; 1.47913714006
F54D12.4; -1.64980817496,sod-1; 0.0201692045871,F17C11.7; 1.70141279169
F54D5.2; -1.76517078147,sod-2; -0.122411711622,F19B10.2; 7.10504396012
F54D7.7; -2.18408347166,spn-4; -0.194725189543,F19B6.1; 2.92863755017
F54E7.8; -0.977517908923,spr-2; 0.0882345277505,F19C7.3; 7.68381870585
F54F2.7; -4.89832969873,sqd-1; 0.00864233094243,F19F10.9; 1.48628436394
F54F2.9; -0.732836588092,sqv-5; -0.0817109587681,F19H6.4; 0.953168578836
F55A11.4; -0.582651674175,srp-7; 0.0140261304638,F20D12.2; 7.63191580246
F55A3.3; -1.36404996585,ssup-72; -0.0755221142733,F20H11.1; 1.45321382553
F55C5.8; -0.420109820273,syx-5; 0.141796786223,F21D5.1; 1.07765046171
