Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C53A5.17; -0.489746206789,T10B11.2; -0.177135624814,C34C12.8; 1.15183258685
C54C6.6; -0.534198245063,T10E9.2; -0.171140677787,C34D10.1; 1.21414348596
C54G4.7; -1.25970504594,T10F2.4; 0.161045478384,C34D4.13; 0.611628086385
C55B6.1; -1.14843198753,T11G6.5; -0.0832344063178,C34D4.4; 0.483889179604
C56A3.4; -1.35768189906,T12A2.7; -0.134623886079,C34E10.10; 2.17312822778
C56A3.5; -0.333169132419,T12F5.1; 0.163640890411,C34G6.1; 5.89019108011
C56C10.9; -0.270475232141,T14G10.7; -0.120846746804,C34G6.5; 0.411939764608
C56E6.2; -1.22349708009,T15B7.2; -0.175855211355,C35D10.5; 0.347600571622
C56G2.7; -0.881784452294,T19B10.6; 0.0858220636147,C35D10.6; 0.411333405575
D1007.4; -2.50520204798,T19B10.8; -0.138163246065,C36A4.4; 1.38508024936
D1007.5; -0.866291173695,T19H12.2; -0.0707979115174,C36B1.11; 1.81171730439
D1043.1; -1.05482231902,T22B11.5; 0.195517171615,C36B1.14; 0.813727787161
D1046.2; -3.23342364355,T22C1.6; 0.0592504827575,C36C9.1; 0.529881886853
D1054.14; -1.26429607367,T24H10.4; -0.101997091465,C36E8.1; 0.346808557595
D1054.1; -4.78135002276,T24H7.3; -0.185294186171,C37H5.5; 0.36760110366
D1081.6; -1.63857286381,T25B9.9; 0.10488235975,C38D4.4; 0.354724852607
D1081.8; -1.19090475883,T25D3.2; -0.127672670903,C39B5.2; 0.343068108317
D2005.7; -0.39529756458,T25G3.3; -0.114899107828,C39E9.11; 0.886439305384
D2013.6; -0.576894386691,T26A5.8; 0.197410684076,C41D11.3; 0.54515794387
D2024.5; -0.302045070062,T28D9.4; 0.00844275246682,C41D11.5; 0.764556124289
D2030.11; -0.282131731862,W02B12.15; 0.19398153341,C41G7.3; 1.44808813982
D2030.1; -0.410608507843,W02B12.9; -0.116010610113,C41H7.3; 1.53272548645
